date,flow
03/01/2019 12:15,12.069
03/01/2019 12:30,12.2247
03/01/2019 12:45,12.5028
03/01/2019 13:00,12.3471
03/01/2019 13:15,12.5918
03/01/2019 13:30,10.9344
03/01/2019 13:45,11.168
03/01/2019 14:00,10.9455
03/01/2019 14:15,10.5339
03/01/2019 14:30,10.3115
03/01/2019 14:45,10.3337
03/01/2019 15:00,10.3893
03/01/2019 15:15,10.9344
03/01/2019 15:30,9.9778
03/01/2019 15:45,10.267
03/01/2019 16:00,9.9555
03/01/2019 16:15,9.9555
03/01/2019 16:30,10.6229
03/01/2019 16:45,10.3671
03/01/2019 17:00,10.7675
03/01/2019 17:15,11.8242
03/01/2019 17:30,12.2581
03/01/2019 17:45,12.0133
03/01/2019 18:00,11.7019
03/01/2019 18:15,11.2347
03/01/2019 18:30,13.2258
03/01/2019 18:45,12.6363
03/01/2019 19:00,12.6251
03/01/2019 19:15,12.9032
03/01/2019 19:30,12.3248
03/01/2019 19:45,12.4138
03/01/2019 20:00,12.1357
03/01/2019 20:15,12.0578
03/01/2019 20:30,10.8454
03/01/2019 20:45,11.4905
03/01/2019 21:00,11.0456
03/01/2019 21:15,11.0011
03/01/2019 21:30,10.267
03/01/2019 21:45,10.3893
03/01/2019 22:00,9.6218
03/01/2019 22:15,10.356
03/01/2019 22:30,10.3337
03/01/2019 22:45,9.5773
03/01/2019 23:00,8.7097
03/01/2019 23:15,8.2759
03/01/2019 23:30,7.6529
03/01/2019 23:45,7.7197
04/01/2019 00:00,6.9077
04/01/2019 00:15,6.4739
04/01/2019 00:30,5.7953
04/01/2019 00:45,5.5284
04/01/2019 01:00,5.0723
04/01/2019 01:15,4.8053
04/01/2019 01:30,4.5829
04/01/2019 01:45,4.3715
04/01/2019 02:00,4.1713
04/01/2019 02:15,4.3604
04/01/2019 02:30,4.0601
04/01/2019 02:45,4.1602
04/01/2019 03:00,4.1935
04/01/2019 03:15,4.0489
04/01/2019 03:30,3.9377
04/01/2019 03:45,3.96
04/01/2019 04:00,3.9488
04/01/2019 04:15,3.9488
04/01/2019 04:30,3.8932
04/01/2019 04:45,4.2047
04/01/2019 05:00,4.327
04/01/2019 05:15,4.5606
04/01/2019 05:30,4.6162
04/01/2019 05:45,5.3726
04/01/2019 06:00,5.6396
04/01/2019 06:15,7.0634
04/01/2019 06:30,7.297
04/01/2019 06:45,8.0756
04/01/2019 07:00,9.0211
04/01/2019 07:15,9.5328
04/01/2019 07:30,10.8343
04/01/2019 07:45,12.4917
04/01/2019 08:00,12.5028
04/01/2019 08:15,12.6029
04/01/2019 08:30,14.0712
04/01/2019 08:45,13.1146
04/01/2019 09:00,13.0367
04/01/2019 09:15,13.0367
04/01/2019 09:30,13.1702
04/01/2019 09:45,12.6363
04/01/2019 10:00,12.6585
04/01/2019 10:15,12.2024
04/01/2019 10:30,15.2836
04/01/2019 10:45,12.8699
04/01/2019 11:00,12.0912
04/01/2019 11:15,12.5473
04/01/2019 11:30,13.4705
04/01/2019 11:45,13.9488
04/01/2019 12:00,12.4805
04/01/2019 12:15,12.1802
04/01/2019 12:30,11.3682
04/01/2019 12:45,11.5907
04/01/2019 13:00,12.2581
04/01/2019 13:15,12.8365
04/01/2019 13:30,11.6018
04/01/2019 13:45,11.9021
04/01/2019 14:00,11.6129
04/01/2019 14:15,11.0345
04/01/2019 14:30,11.1012
04/01/2019 14:45,11.1902
04/01/2019 15:00,10.9121
04/01/2019 15:15,10.8788
04/01/2019 15:30,11.257
04/01/2019 15:45,11.0122
04/01/2019 16:00,10.8231
04/01/2019 16:15,10.356
04/01/2019 16:30,11.3904
04/01/2019 16:45,11.1568
04/01/2019 17:00,12.0022
04/01/2019 17:15,13.0701
04/01/2019 17:30,11.9244
04/01/2019 17:45,12.3471
04/01/2019 18:00,12.8699
04/01/2019 18:15,13.2481
04/01/2019 18:30,12.8699
04/01/2019 18:45,12.9588
04/01/2019 19:00,11.6352
04/01/2019 19:15,12.0245
04/01/2019 19:30,12.5473
04/01/2019 19:45,12.2581
04/01/2019 20:00,11.7575
04/01/2019 20:15,11.3682
04/01/2019 20:30,10.9566
04/01/2019 20:45,10.7119
04/01/2019 21:00,9.7108
04/01/2019 21:15,10.356
04/01/2019 21:30,9.7553
04/01/2019 21:45,9.4327
04/01/2019 22:00,8.9766
04/01/2019 22:15,10.2225
04/01/2019 22:30,9.2659
04/01/2019 22:45,8.9099
04/01/2019 23:00,8.2759
04/01/2019 23:15,7.5751
04/01/2019 23:30,7.6974
04/01/2019 23:45,7.2525
05/01/2019 00:00,6.5851
05/01/2019 00:15,6.6296
05/01/2019 00:30,6.8854
05/01/2019 00:45,6.5628
05/01/2019 01:00,5.9511
05/01/2019 01:15,5.4505
05/01/2019 01:30,5.0501
05/01/2019 01:45,4.9055
05/01/2019 02:00,4.505
05/01/2019 02:15,4.4383
05/01/2019 02:30,4.4271
05/01/2019 02:45,4.1157
05/01/2019 03:00,4.2714
05/01/2019 03:15,4.3382
05/01/2019 03:30,4.2492
05/01/2019 03:45,4.1157
05/01/2019 04:00,4.1713
05/01/2019 04:15,4.0601
05/01/2019 04:30,3.7375
05/01/2019 04:45,4.0267
05/01/2019 05:00,4.0601
05/01/2019 05:15,4.1713
05/01/2019 05:30,4.0712
05/01/2019 05:45,3.9266
05/01/2019 06:00,4.4828
05/01/2019 06:15,5.0389
05/01/2019 06:30,4.8832
05/01/2019 06:45,5.6062
05/01/2019 07:00,6.4294
05/01/2019 07:15,7.4305
05/01/2019 07:30,7.7642
05/01/2019 07:45,8.8877
05/01/2019 08:00,9.3215
05/01/2019 08:15,10.7898
05/01/2019 08:30,11.624
05/01/2019 08:45,12.7809
05/01/2019 09:00,13.1479
05/01/2019 09:15,14.1379
05/01/2019 09:30,13.4594
05/01/2019 09:45,14.3604
05/01/2019 10:00,15.2169
05/01/2019 10:15,16.0067
05/01/2019 10:30,15.6062
05/01/2019 10:45,14.594
05/01/2019 11:00,15.2948
05/01/2019 11:15,15.6285
05/01/2019 11:30,15.0834
05/01/2019 11:45,15.4394
05/01/2019 12:00,14.6607
05/01/2019 12:15,14.7052
05/01/2019 12:30,14.8165
05/01/2019 12:45,14.1935
05/01/2019 13:00,13.8598
05/01/2019 13:15,14.0489
05/01/2019 13:30,13.8932
05/01/2019 13:45,13.9377
05/01/2019 14:00,13.2592
05/01/2019 14:15,13.1479
05/01/2019 14:30,13.0145
05/01/2019 14:45,12.6363
05/01/2019 15:00,14.0267
05/01/2019 15:15,12.5362
05/01/2019 15:30,13.7597
05/01/2019 15:45,13.3593
05/01/2019 16:00,12.703
05/01/2019 16:15,11.9355
05/01/2019 16:30,12.2692
05/01/2019 16:45,11.9689
05/01/2019 17:00,12.4583
05/01/2019 17:15,13.3704
05/01/2019 17:30,12.97
05/01/2019 17:45,12.4138
05/01/2019 18:00,12.3026
05/01/2019 18:15,12.3804
05/01/2019 18:30,12.1802
05/01/2019 18:45,12.2803
05/01/2019 19:00,12.6251
05/01/2019 19:15,13.2147
05/01/2019 19:30,11.8354
05/01/2019 19:45,11.7575
05/01/2019 20:00,11.9355
05/01/2019 20:15,12.2024
05/01/2019 20:30,11.2125
05/01/2019 20:45,10.723
05/01/2019 21:00,10.1891
05/01/2019 21:15,10.0222
